iter	Passed	Remaining
0	131	131314
1	133	66764
2	135	45033
3	136	34066
4	138	27525
5	140	23261
6	141	20128
7	143	17737
8	144	15895
9	147	14609
10	148	13386
11	150	12372
12	151	11513
13	153	10812
14	154	10177
15	156	9610
16	157	9110
17	158	8662
18	160	8278
19	162	7957
20	163	7640
21	165	7348
22	167	7115
23	176	7158
24	177	6917
25	178	6693
26	180	6486
27	182	6319
28	183	6150
29	184	5979
30	186	5814
31	187	5662
32	189	5541
33	190	5416
34	191	5291
35	193	5170
36	194	5056
37	195	4960
38	197	4870
39	198	4773
40	200	4683
41	201	4599
42	204	4542
43	206	4480
44	207	4407
45	209	4342
46	211	4278
47	212	4210
48	213	4143
49	214	4081
50	216	4026
51	217	3971
52	219	3919
53	220	3864
54	221	3814
55	223	3767
56	225	3723
57	226	3680
58	228	3638
59	229	3593
60	230	3553
61	232	3516
62	233	3477
63	235	3437
64	236	3404
65	238	3369
66	239	3333
67	240	3299
68	241	3264
69	243	3228
70	244	3195
71	245	3166
72	247	3140
73	248	3110
74	249	3080
75	251	3051
76	252	3025
77	253	3000
78	255	2975
79	256	2951
80	257	2926
81	259	2901
82	260	2872
83	261	2850
84	262	2827
85	263	2804
86	265	2780
87	266	2758
88	267	2740
89	268	2719
90	270	2701
91	271	2681
92	272	2661
93	274	2642
94	275	2625
95	276	2607
96	277	2586
97	278	2567
98	280	2548
99	281	2532
100	282	2518
101	284	2502
102	285	2485
103	286	2469
104	287	2453
105	289	2441
106	290	2427
107	292	2413
108	293	2399
109	294	2385
110	296	2372
111	297	2360
112	298	2346
113	300	2333
114	301	2321
115	303	2309
116	304	2296
117	305	2284
118	306	2271
119	308	2258
120	309	2246
121	310	2234
122	311	2224
123	313	2212
124	314	2200
125	315	2188
126	316	2175
127	318	2166
128	319	2156
129	320	2146
130	321	2135
131	323	2125
132	324	2114
133	325	2106
134	327	2098
135	328	2088
136	330	2079
137	331	2071
138	332	2062
139	334	2054
140	335	2045
141	336	2034
142	338	2025
143	339	2016
144	340	2008
145	342	2001
146	343	1992
147	344	1983
148	345	1974
149	346	1965
150	348	1958
151	349	1951
152	351	1943
153	352	1933
154	353	1924
155	354	1917
156	355	1909
157	356	1901
158	358	1894
159	359	1885
160	360	1876
161	361	1868
162	362	1861
163	363	1854
164	365	1848
165	366	1841
166	367	1834
167	368	1827
168	370	1820
169	371	1814
170	372	1808
171	374	1802
172	375	1794
173	376	1789
174	378	1783
175	379	1776
176	380	1770
177	381	1763
178	383	1757
179	384	1751
180	386	1747
181	387	1742
182	388	1736
183	390	1730
184	391	1725
185	393	1720
186	394	1714
187	395	1708
188	396	1701
189	397	1695
190	399	1690
191	400	1685
192	401	1680
193	403	1674
194	404	1668
195	405	1663
196	407	1659
197	408	1654
198	409	1648
199	410	1643
200	411	1637
201	413	1632
202	414	1628
203	416	1623
204	417	1618
205	418	1612
206	419	1606
207	420	1602
208	422	1597
209	423	1592
210	424	1586
211	425	1581
212	426	1576
213	427	1570
214	428	1566
215	430	1561
216	431	1556
217	432	1551
218	433	1546
219	434	1540
220	436	1537
221	437	1533
222	438	1529
223	440	1525
224	441	1521
225	443	1517
226	444	1513
227	445	1509
228	446	1504
229	448	1500
230	449	1496
231	450	1492
232	452	1488
233	453	1484
234	454	1479
235	455	1475
236	456	1470
237	458	1466
238	459	1463
239	460	1459
240	461	1454
241	462	1449
242	463	1445
243	465	1441
244	466	1438
245	467	1434
246	469	1429
247	470	1425
248	471	1421
249	472	1417
250	474	1414
251	475	1410
252	476	1406
253	477	1401
254	478	1397
255	479	1393
256	481	1390
257	482	1387
258	483	1383
259	484	1380
260	486	1376
261	487	1374
262	489	1371
263	490	1368
264	491	1364
265	492	1360
266	493	1355
267	495	1353
268	496	1349
269	497	1346
270	498	1341
271	499	1338
272	501	1334
273	502	1331
274	503	1328
275	505	1325
276	506	1322
277	507	1318
278	508	1315
279	510	1312
280	511	1308
281	513	1306
282	514	1302
283	515	1298
284	516	1295
285	517	1292
286	519	1289
287	520	1286
288	521	1283
289	523	1280
290	524	1278
291	525	1275
292	527	1272
293	528	1269
294	529	1266
295	530	1262
296	532	1259
297	533	1256
298	534	1253
299	535	1249
300	536	1246
301	537	1243
302	539	1240
303	540	1238
304	541	1234
305	543	1231
306	544	1228
307	545	1225
308	546	1222
309	547	1219
310	549	1216
311	550	1213
312	551	1210
313	552	1206
314	553	1204
315	555	1201
316	556	1199
317	557	1196
318	558	1193
319	559	1189
320	561	1186
321	562	1184
322	563	1181
323	564	1178
324	565	1175
325	567	1172
326	568	1170
327	570	1168
328	571	1165
329	572	1162
330	573	1159
331	574	1156
332	576	1154
333	577	1152
334	579	1150
335	580	1147
336	582	1145
337	583	1143
338	585	1141
339	586	1139
340	588	1136
341	589	1133
342	590	1131
343	592	1129
344	593	1127
345	595	1124
346	596	1122
347	597	1119
348	598	1116
349	599	1114
350	600	1111
351	601	1108
352	603	1105
353	604	1102
354	605	1100
355	607	1098
356	608	1095
357	609	1092
358	610	1090
359	611	1087
360	613	1085
361	614	1083
362	615	1080
363	616	1077
364	618	1075
365	619	1072
366	620	1070
367	621	1068
368	623	1065
369	624	1062
370	625	1060
371	627	1059
372	629	1057
373	630	1055
374	631	1053
375	633	1051
376	634	1049
377	636	1047
378	637	1044
379	638	1041
380	639	1039
381	640	1036
382	642	1034
383	643	1032
384	644	1029
385	645	1027
386	646	1024
387	648	1022
388	649	1020
389	650	1017
390	652	1015
391	653	1012
392	654	1010
393	655	1007
394	656	1006
395	658	1003
396	659	1001
397	660	999
398	661	997
399	663	994
400	664	992
401	665	990
402	666	987
403	667	985
404	668	982
405	670	980
406	671	978
407	673	976
408	674	974
409	675	972
410	677	970
411	679	969
412	680	967
413	682	965
414	683	963
415	684	961
416	686	959
417	687	957
418	689	955
419	690	953
420	691	951
421	692	949
422	694	947
423	696	946
424	697	943
425	698	941
426	699	939
427	701	937
428	702	935
429	704	933
430	705	931
431	706	929
432	708	927
433	710	925
434	711	923
435	712	921
436	714	919
437	715	918
438	717	916
439	718	914
440	719	912
441	720	910
442	722	908
443	723	906
444	725	904
445	726	902
446	727	900
447	728	897
448	730	896
449	731	894
450	732	892
451	734	889
452	735	888
453	737	886
454	738	884
455	739	882
456	741	880
457	742	878
458	743	876
459	745	874
460	746	872
461	747	870
462	748	868
463	750	866
464	751	865
465	753	863
466	754	861
467	755	859
468	757	857
469	758	854
470	759	852
471	760	850
472	761	848
473	763	846
474	764	845
475	766	843
476	768	842
477	769	840
478	770	838
479	771	836
480	773	834
481	775	833
482	776	831
483	777	829
484	779	827
485	781	826
486	782	824
487	784	822
488	785	820
489	786	818
490	788	817
491	790	815
492	791	813
493	792	812
494	793	809
495	796	809
496	797	807
497	798	805
498	800	803
499	801	801
500	802	799
501	804	797
502	805	795
503	806	793
504	807	791
505	809	789
506	810	788
507	811	786
508	813	784
509	814	782
510	815	780
511	817	778
512	818	777
513	820	775
514	821	773
515	822	771
516	823	769
517	825	767
518	826	766
519	827	764
520	828	762
521	830	760
522	831	758
523	832	756
524	834	754
525	835	752
526	836	750
527	837	748
528	839	747
529	840	745
530	841	743
531	842	741
532	844	739
533	845	737
534	847	736
535	848	734
536	849	732
537	850	730
538	852	729
539	853	727
540	855	725
541	856	724
542	858	722
543	859	720
544	861	718
545	862	717
546	863	715
547	865	713
548	866	711
549	867	709
550	869	708
551	870	706
552	871	704
553	872	702
554	874	700
555	875	699
556	876	697
557	878	695
558	879	693
559	880	691
560	881	690
561	883	688
562	884	686
563	885	684
564	887	683
565	888	681
566	889	679
567	890	677
568	892	675
569	893	674
570	895	672
571	896	670
572	897	668
573	898	667
574	900	665
575	901	663
576	902	661
577	903	659
578	905	658
579	906	656
580	907	654
581	934	671
582	936	669
583	945	673
584	947	671
585	948	670
586	950	668
587	951	666
588	953	665
589	955	663
590	956	662
591	957	660
592	959	658
593	961	657
594	962	655
595	965	654
596	966	652
597	969	651
598	970	649
599	972	648
600	974	647
601	976	645
602	977	643
603	979	642
604	981	640
605	982	639
606	984	637
607	985	635
608	989	635
609	990	633
610	991	631
611	993	629
612	996	628
613	997	626
614	998	625
615	999	623
616	1004	623
617	1009	623
618	1010	622
619	1012	620
620	1013	618
621	1014	616
622	1018	616
623	1020	615
624	1022	613
625	1025	612
626	1027	611
627	1028	609
628	1029	607
629	1035	607
630	1036	606
631	1038	604
632	1042	604
633	1043	602
634	1045	600
635	1048	599
636	1049	598
637	1050	596
638	1051	594
639	1053	592
640	1055	590
641	1056	589
